frame,left_knee_deg,right_knee_deg
0,108.89,142.17
1,112.57,143.41
2,114.23,143.95
3,115.27,154.98
4,115.52,151.71
5,116.16,149.31
6,117.07,147.71
7,117.56,146.72
8,117.96,145.76
9,118.21,145.08
10,126.26,138.69
11,126.42,137.11
12,125.44,142.59
13,137.12,145.50
14,141.37,140.75
15,141.09,140.51
16,139.92,128.34
17,139.85,123.63
18,147.88,102.73
19,150.80,92.20
20,141.11,94.94
21,135.58,95.54
22,143.55,104.17
23,144.74,103.13
24,140.64,113.55
25,142.40,114.63
26,149.64,121.56
27,147.32,121.88
28,141.20,125.63
29,139.54,127.09
30,119.34,122.03
31,114.97,122.67
32,103.35,119.07
33,101.05,119.97
34,90.78,130.23
35,86.28,132.67
36,86.60,128.82
37,85.58,128.52
38,101.95,131.32
39,97.73,131.03
40,104.88,138.73
41,107.75,137.50
42,111.59,135.42
43,110.48,135.17
44,121.60,135.09
45,123.56,133.40
46,127.51,129.87
47,130.11,129.96
48,132.83,121.08
49,133.20,119.60
50,140.87,121.30
51,140.85,118.25
52,136.83,93.50
53,135.91,89.19
54,141.37,85.61
55,144.56,85.78
56,131.38,95.46
57,130.05,95.04
58,128.56,109.06
59,129.20,107.14
60,126.30,118.22
61,124.35,117.26
62,122.76,123.33
63,122.08,122.57
64,111.45,122.90
65,108.87,124.75
66,106.79,122.73
67,103.98,120.80
68,93.91,122.89
69,90.56,126.93
70,70.21,117.82
71,69.63,124.98
72,83.08,135.06
73,84.55,143.44
74,92.99,132.04
75,92.70,131.46
76,111.32,125.41
77,110.62,126.22
78,124.66,134.43
79,126.35,136.26
80,122.14,129.13
81,122.74,126.13
82,126.48,120.89
83,126.26,120.33
84,121.67,114.83
85,117.99,101.90
86,77.54,130.28
87,71.96,137.22
88,101.33,86.66
89,107.85,75.04
90,103.21,87.42
91,102.04,86.65
92,115.84,109.39
93,118.66,108.38
94,127.35,123.06
95,129.63,124.04
96,129.07,124.94
97,131.89,123.79
98,117.78,122.38
99,113.18,126.55
100,91.66,128.12
101,89.54,119.65
102,69.92,100.55
103,68.06,74.47
104,67.01,121.78
105,67.53,122.76
106,71.90,86.62
107,67.76,91.86
108,89.03,123.85
109,90.75,124.83
110,101.64,132.82
111,104.87,131.11
112,111.15,134.59
113,112.40,128.39
114,107.57,127.24
115,106.88,121.91
116,109.06,117.40
117,117.04,151.14
118,91.62,116.30
119,75.76,117.01
120,75.74,
121,89.00,
122,74.39,
123,74.00,
124,83.68,
125,83.30,
126,144.03,
127,152.57,
128,165.84,
129,96.74,
130,151.27,
131,167.40,
132,130.90,
