frame,left_knee_deg,right_knee_deg
0,,177.35
1,,169.33
2,,167.81
3,,170.74
4,,169.23
5,,170.98
6,,172.41
7,,174.04
8,141.21,174.26
9,151.88,179.16
10,152.69,179.61
11,160.99,172.06
12,161.08,169.79
13,169.45,151.93
14,170.70,150.00
15,173.41,102.88
16,174.08,92.32
17,174.32,47.36
18,175.34,43.98
19,172.93,26.18
20,172.51,23.00
21,165.67,18.17
22,165.45,17.87
23,167.22,17.70
24,167.63,18.39
25,165.97,40.24
26,165.22,49.20
27,172.90,120.38
28,171.37,126.46
29,175.50,137.22
30,176.55,138.50
31,167.97,150.38
32,166.94,152.69
33,148.62,161.24
34,145.53,163.41
35,104.63,172.14
36,102.22,173.44
37,74.60,177.16
38,71.26,177.77
39,51.89,176.89
40,49.42,177.02
41,41.42,178.30
42,39.62,179.31
43,34.67,170.70
44,34.76,169.64
45,61.42,167.80
46,68.48,168.46
47,68.08,171.09
48,71.56,171.32
49,126.27,171.40
50,129.64,171.48
51,148.60,177.13
52,160.73,168.80
53,161.51,168.64
54,161.09,167.40
55,167.11,141.96
56,168.10,138.28
57,172.54,80.45
58,174.02,71.41
59,175.62,46.73
60,176.46,43.28
61,171.07,28.18
62,169.70,26.31
63,163.51,23.25
64,163.51,23.37
65,160.88,25.81
66,161.06,27.48
67,173.75,56.85
68,172.53,67.71
69,175.65,116.47
70,175.44,121.42
71,174.10,138.89
72,174.01,139.73
73,163.89,152.62
74,163.67,154.22
75,143.74,164.12
76,142.69,166.58
77,107.96,175.28
78,106.69,176.72
79,78.88,178.46
80,75.44,178.54
81,53.73,178.05
82,51.43,177.79
83,42.75,174.61
84,41.79,174.43
85,33.98,165.47
86,33.37,161.78
87,48.00,163.35
88,50.55,163.80
89,88.29,167.14
90,92.86,169.37
91,125.04,170.02
92,128.82,171.20
93,146.87,176.61
94,148.28,177.10
95,157.96,160.19
96,158.91,157.97
97,169.12,135.65
98,171.48,129.43
99,175.01,87.19
100,175.99,78.89
101,176.00,52.28
102,175.93,49.47
103,167.41,35.08
104,166.54,33.31
105,159.51,28.69
106,160.88,28.58
107,157.99,30.62
108,158.36,33.39
109,169.43,73.07
110,169.79,83.22
111,172.82,116.05
112,173.37,119.73
113,174.91,134.38
114,175.53,137.03
115,161.24,152.49
116,160.58,153.06
117,140.63,165.57
118,138.77,166.82
119,106.44,174.67
120,103.93,176.94
121,78.22,176.70
122,74.71,177.60
123,48.79,173.20
124,46.23,173.22
125,44.51,170.24
126,44.66,168.76
127,35.98,159.52
128,35.46,158.25
129,56.50,158.39
130,57.58,159.76
131,86.56,162.80
132,91.21,163.61
133,93.66,163.07
134,122.92,168.66
135,143.72,170.98
136,146.02,171.16
